# num_pages  ns_per_access_median  [individual repeat values]
1 2.504250 2.499160 2.440725 2.504250 2.521120 2.524310
2 1.803125 1.803125 1.832420 1.802817 1.850345 1.802382
4 1.566333 1.528860 1.577905 1.585107 1.538260 1.566333
8 1.634397 1.783091 1.634397 1.653037 1.587853 1.558295
16 4.854513 4.728083 4.854513 5.054783 4.784577 5.038982
32 5.016426 5.016426 4.874728 4.891989 5.214054 5.081490
64 4.979260 4.979260 5.039832 4.986089 4.932485 4.878446
128 5.109071 5.089101 5.109071 5.146426 5.072880 5.185567
256 5.061041 5.177074 5.053700 5.061041 5.151912 5.019961
512 5.123392 5.081776 5.135610 5.123392 5.078556 5.132000
1024 5.368128 5.265271 5.368128 5.278952 5.378016 5.391675
2048 5.258907 5.252167 5.316323 5.258907 5.242372 5.283206
4096 4.131213 4.073610 4.096854 4.131213 4.137550 4.824619
